run_id,branch_nodes,children,generations,status
official__V12_M1__tailored_global_gini_tree__300s,233,466,10,passed
official__V12_M2__tailored_global_gini_tree__300s,136,272,10,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,61,122,10,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,77,154,10,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,142,284,9,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,136,272,10,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,54,108,10,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,58,116,10,passed
official__V12_M1__tailored_global_gini_tree__900s,233,466,10,passed
official__V12_M2__tailored_global_gini_tree__900s,147,294,10,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,124,248,10,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,130,260,10,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,150,300,9,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,136,272,10,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,74,148,10,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,142,284,10,passed
gate__V12_M1__global__presolve_on__30s,131,262,10,passed
gate__V12_M2__global__presolve_on__30s,69,138,10,passed
gate__moderate_seed3301__global__presolve_on__30s,48,96,9,passed
gate__tight_T_seed3102__global__presolve_on__30s,16,32,10,passed
gate__V12_M1__global__presolve_off__30s,124,248,10,passed
gate__V12_M2__global__presolve_off__30s,68,136,10,passed
gate__moderate_seed3301__global__presolve_off__30s,25,50,9,passed
gate__tight_T_seed3102__global__presolve_off__30s,17,34,10,passed
