run_id,instance,presolve,status,failures,solver_status,objective,native_best_bound,gini_branch_nodes,gini_generations,ordinary_fallbacks,local_rows,root_fingerprint,native_finalization,json_path
gate__V12_M1__global__presolve_on__30s,V12_M1,on,passed,,"time limit exceeded, no integer solution",0.357200583208,0.332626998621,131,10,960,152391,9e1e334ba9888cf5,True,results/gf_global_gini_tree_feasibility_round/raw/gate__V12_M1__global__presolve_on__30s.json
gate__V12_M2__global__presolve_on__30s,V12_M2,on,passed,,"time limit exceeded, no integer solution",0.718504070755,0.663171619562,69,10,661,78934,9afb609938f49557,True,results/gf_global_gini_tree_feasibility_round/raw/gate__V12_M2__global__presolve_on__30s.json
gate__moderate_seed3301__global__presolve_on__30s,moderate_seed3301,on,passed,,"time limit exceeded, no integer solution",0.0491525526647,0.0431086985171,48,9,45,84629,eded454668315c6e,True,results/gf_global_gini_tree_feasibility_round/raw/gate__moderate_seed3301__global__presolve_on__30s.json
gate__tight_T_seed3102__global__presolve_on__30s,tight_T_seed3102,on,passed,,"time limit exceeded, no integer solution",0.600704436685,0.498315246415,16,10,12,25578,4eae20bdea27394b,True,results/gf_global_gini_tree_feasibility_round/raw/gate__tight_T_seed3102__global__presolve_on__30s.json
gate__V12_M1__global__presolve_off__30s,V12_M1,off,passed,,"time limit exceeded, no integer solution",0.357200583208,0.326569530452,124,10,780,144032,9e1e334ba9888cf5,True,results/gf_global_gini_tree_feasibility_round/raw/gate__V12_M1__global__presolve_off__30s.json
gate__V12_M2__global__presolve_off__30s,V12_M2,off,passed,,"time limit exceeded, no integer solution",0.718504070755,0.661618161516,68,10,972,77640,9afb609938f49557,True,results/gf_global_gini_tree_feasibility_round/raw/gate__V12_M2__global__presolve_off__30s.json
gate__moderate_seed3301__global__presolve_off__30s,moderate_seed3301,off,passed,,"time limit exceeded, no integer solution",0.0491525526647,0.0415076865287,25,9,47,44490,eded454668315c6e,True,results/gf_global_gini_tree_feasibility_round/raw/gate__moderate_seed3301__global__presolve_off__30s.json
gate__tight_T_seed3102__global__presolve_off__30s,tight_T_seed3102,off,passed,,"time limit exceeded, no integer solution",0.600704436685,0.436458510002,17,10,4,26999,4eae20bdea27394b,True,results/gf_global_gini_tree_feasibility_round/raw/gate__tight_T_seed3102__global__presolve_off__30s.json
