run_id,root_gamma_L,root_gamma_U,status
official__V12_M1__tailored_global_gini_tree__300s,0,0.357200583208,passed
official__V12_M2__tailored_global_gini_tree__300s,0,0.718504070755,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,0,0.107252734134,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,0,0.95,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,0,0.0491525526647,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,0,0.195636206549,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,0,0.95,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,0,0.600704436685,passed
official__V12_M1__tailored_global_gini_tree__900s,0,0.357200583208,passed
official__V12_M2__tailored_global_gini_tree__900s,0,0.718504070755,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,0,0.107252734134,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,0,0.95,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,0,0.0491525526647,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,0,0.195636206549,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,0,0.95,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,0,0.600704436685,passed
gate__V12_M1__global__presolve_on__30s,0,0.357200583208,passed
gate__V12_M2__global__presolve_on__30s,0,0.718504070755,passed
gate__moderate_seed3301__global__presolve_on__30s,0,0.0491525526647,passed
gate__tight_T_seed3102__global__presolve_on__30s,0,0.600704436685,passed
gate__V12_M1__global__presolve_off__30s,0,0.357200583208,passed
gate__V12_M2__global__presolve_off__30s,0,0.718504070755,passed
gate__moderate_seed3301__global__presolve_off__30s,0,0.0491525526647,passed
gate__tight_T_seed3102__global__presolve_off__30s,0,0.600704436685,passed
