run_id,threads,status
official__V12_M1__tailored_global_gini_tree__300s,1,passed
official__V12_M2__tailored_global_gini_tree__300s,1,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,1,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,1,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,1,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,1,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,1,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,1,passed
official__V12_M1__tailored_global_gini_tree__900s,1,passed
official__V12_M2__tailored_global_gini_tree__900s,1,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,1,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,1,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,1,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,1,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,1,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,1,passed
gate__V12_M1__global__presolve_on__30s,1,passed
gate__V12_M2__global__presolve_on__30s,1,passed
gate__moderate_seed3301__global__presolve_on__30s,1,passed
gate__tight_T_seed3102__global__presolve_on__30s,1,passed
gate__V12_M1__global__presolve_off__30s,1,passed
gate__V12_M2__global__presolve_off__30s,1,passed
gate__moderate_seed3301__global__presolve_off__30s,1,passed
gate__tight_T_seed3102__global__presolve_off__30s,1,passed
