run_id,instance,instance_class,budget_seconds,arm,fresh,status,objective,lower_bound,upper_bound,gap,certified_original_problem,global_exactness,global_exactness_failures,actual_process_wall_seconds,engineering_blocker,json_path,command_path,executable_sha256
official__V12_M1__plain_cplex__300s,V12_M1,control,300,plain_cplex,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,True,passed,,182.50783669995144,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M1__plain_cplex__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M1__plain_cplex__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M1__tailored_legacy_scheduler_static__300s,V12_M1,control,300,tailored_legacy_scheduler_static,True,gcap_frontier_not_closed,0.357200583208,0.34856314104,0.357200583208,0.0241809296353,False,passed,,303.40309359971434,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M1__tailored_legacy_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M1__tailored_legacy_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M1__tailored_controlling_scheduler_static__300s,V12_M1,control,300,tailored_controlling_scheduler_static,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,True,passed,,110.52205899963155,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M1__tailored_controlling_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M1__tailored_controlling_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M1__tailored_global_gini_tree__300s,V12_M1,control,300,tailored_global_gini_tree,True,optimal,0.357200583208,0.357200583208,0.357200583208,0,True,passed,,142.09889640007168,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M1__tailored_global_gini_tree__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M1__tailored_global_gini_tree__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M2__plain_cplex__300s,V12_M2,control,300,plain_cplex,True,not_certified,0.72439493548,0.62363611398,0.72439493548,0.139093768558,False,passed,,300.13840610021725,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M2__plain_cplex__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M2__plain_cplex__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M2__tailored_legacy_scheduler_static__300s,V12_M2,control,300,tailored_legacy_scheduler_static,True,optimal,0.718504070755,0.718504070755,0.718504070755,0,True,passed,,289.7239911998622,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M2__tailored_legacy_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M2__tailored_legacy_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M2__tailored_controlling_scheduler_static__300s,V12_M2,control,300,tailored_controlling_scheduler_static,True,gcap_frontier_not_closed,0.718504070755,0.666387,0.718504070755,0.0725355260691,False,passed,,294.25736350007355,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M2__tailored_controlling_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M2__tailored_controlling_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__V12_M2__tailored_global_gini_tree__300s,V12_M2,control,300,tailored_global_gini_tree,True,global_gini_tree_time_limit,0.718504070755,0.703613075391,0.718504070755,0.0207249979094,False,passed,,300.5833002999425,,results/gf_global_gini_tree_feasibility_round/raw/official__V12_M2__tailored_global_gini_tree__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__V12_M2__tailored_global_gini_tree__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__tight_T_seed3101__plain_cplex__300s,tight_T_seed3101,control,300,plain_cplex,True,not_certified,0.144197622615,0.01587455394,0.144197622615,0.889911125772,False,passed,,300.1364700999111,,results/gf_global_gini_tree_feasibility_round/raw/official__tight_T_seed3101__plain_cplex__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__tight_T_seed3101__plain_cplex__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__tight_T_seed3101__tailored_legacy_scheduler_static__300s,tight_T_seed3101,control,300,tailored_legacy_scheduler_static,True,optimal,0.107252734134,0.107252734134,0.107252734134,0,True,passed,,76.57128219958395,,results/gf_global_gini_tree_feasibility_round/raw/official__tight_T_seed3101__tailored_legacy_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__tight_T_seed3101__tailored_legacy_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__tight_T_seed3101__tailored_controlling_scheduler_static__300s,tight_T_seed3101,control,300,tailored_controlling_scheduler_static,True,gcap_frontier_not_closed,0.107252734134,0.031294,0.107252734134,0.70822189054,False,passed,,294.1697639999911,,results/gf_global_gini_tree_feasibility_round/raw/official__tight_T_seed3101__tailored_controlling_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__tight_T_seed3101__tailored_controlling_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__tight_T_seed3101__tailored_global_gini_tree__300s,tight_T_seed3101,control,300,tailored_global_gini_tree,True,global_gini_tree_time_limit,0.107252734134,0.0150576080861,0.107252734134,0.859606300877,False,passed,,300.22988229990005,,results/gf_global_gini_tree_feasibility_round/raw/official__tight_T_seed3101__tailored_global_gini_tree__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__tight_T_seed3101__tailored_global_gini_tree__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__high_imbalance_seed3202__plain_cplex__300s,high_imbalance_seed3202,control,300,plain_cplex,True,not_certified,2.84302481605,1.0668152803,2.84302481605,0.624760475435,False,passed,,300.1504791001789,,results/gf_global_gini_tree_feasibility_round/raw/official__high_imbalance_seed3202__plain_cplex__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__high_imbalance_seed3202__plain_cplex__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s,high_imbalance_seed3202,control,300,tailored_legacy_scheduler_static,True,gcap_frontier_not_closed,1.74931345205,1.06421478404,1.74931345205,0.391638598107,False,passed,,312.744520700071,,results/gf_global_gini_tree_feasibility_round/raw/official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s.json,results/gf_global_gini_tree_feasibility_round/commands/official__high_imbalance_seed3202__tailored_legacy_scheduler_static__300s.json,e602a954108bf091ca721e0cfd53d4cbc2066c0634057bd7ae0e27ac33cac4eb
