audit,checked,failures,status
presolve_compatibility_audit.csv,8,0,passed
root_model_identity_audit.csv,24,0,passed
improving_range_coverage_audit.csv,24,0,passed
recursive_gini_branch_audit.csv,24,0,passed
branch_parent_child_coverage_audit.csv,2531,0,passed
child_estimate_validity_audit.csv,2531,0,passed
fixed_interval_node_row_equivalence_audit.csv,3,0,passed
sibling_local_row_isolation_audit.csv,4428,0,passed
single_tree_lifecycle_audit.csv,24,0,passed
global_bound_monotonicity_audit.csv,24,0,passed
native_solver_finalization_audit.csv,24,0,passed
certificate_source_audit.csv,24,0,passed
thread_fairness_audit.csv,24,0,passed
hardware_fairness_audit.csv,1,0,passed
no_instance_special_case_audit.csv,1,0,passed
no_simplification_or_family_drop_audit.csv,1,0,passed
official_rows_present,64,4,incomplete
official_rows_executed_or_blocked,64,0,passed
official_global_rows_present,16,0,passed
external_independent_audit_suite,8,0,passed
