run_id,finalization_source,certificate_scope,status
official__V12_M1__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__V12_M2__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__V12_M1__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__V12_M2__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__V12_M1__global__presolve_on__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__V12_M2__global__presolve_on__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__moderate_seed3301__global__presolve_on__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__tight_T_seed3102__global__presolve_on__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__V12_M1__global__presolve_off__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__V12_M2__global__presolve_off__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__moderate_seed3301__global__presolve_off__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
gate__tight_T_seed3102__global__presolve_off__30s,native_single_cplex_problem,original_global_gini_single_tree,passed
