comparison_id,instance,budget_seconds,plain_budget_seconds,tailored_budget_seconds,plain_cplex_threads,tailored_cplex_threads,same_hardware,plain_status,tailored_status
V12_M1__300s__plain_vs_global,V12_M1,300,300,300,1,1,True,optimal,optimal
V12_M2__300s__plain_vs_global,V12_M2,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
tight_T_seed3101__300s__plain_vs_global,tight_T_seed3101,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
high_imbalance_seed3202__300s__plain_vs_global,high_imbalance_seed3202,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
moderate_seed3301__300s__plain_vs_global,moderate_seed3301,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
moderate_seed3302__300s__plain_vs_global,moderate_seed3302,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
high_imbalance_seed3201__300s__plain_vs_global,high_imbalance_seed3201,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
tight_T_seed3102__300s__plain_vs_global,tight_T_seed3102,300,300,300,1,1,True,not_certified,global_gini_tree_time_limit
V12_M1__900s__plain_vs_global,V12_M1,900,900,900,1,1,True,optimal,optimal
V12_M2__900s__plain_vs_global,V12_M2,900,900,900,1,1,True,not_certified,optimal
tight_T_seed3101__900s__plain_vs_global,tight_T_seed3101,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
high_imbalance_seed3202__900s__plain_vs_global,high_imbalance_seed3202,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
moderate_seed3301__900s__plain_vs_global,moderate_seed3301,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
moderate_seed3302__900s__plain_vs_global,moderate_seed3302,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
high_imbalance_seed3201__900s__plain_vs_global,high_imbalance_seed3201,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
tight_T_seed3102__900s__plain_vs_global,tight_T_seed3102,900,900,900,1,1,True,not_certified,global_gini_tree_time_limit
