check,run_id,passed,reason
hardware_metadata_present,,True,rows=1
hardware_metadata_complete,,True,none
parameter_manifest_present,,True,rows=4
plain_and_tailored_parameter_roles,,True,roles=plain_cplex;tailored_compact_bc
parameter_snapshot:cplex_params_plain.json,,True,valid_json
parameter_snapshot:cplex_params_tailored.json,,True,valid_json
run_isolation_manifest_present,,True,rows=72
unique_run_id,gate__V12_M1__global__presolve_on__30s,True,unique
one_thread_cplex,gate__V12_M1__global__presolve_on__30s,True,cplex_threads=1
single_solver_process,gate__V12_M1__global__presolve_on__30s,True,max_concurrent=1;background=False
incumbent_source_policy_present,gate__V12_M1__global__presolve_on__30s,True,same_run_verified_incumbent
run_timestamps_valid,gate__V12_M1__global__presolve_on__30s,True,start=2026-07-15T06:39:21+08:00;end=2026-07-15T06:39:51+08:00
resource_stop_not_used,gate__V12_M1__global__presolve_on__30s,True,resource_stopped=False;bound_used=False;certified=False
unique_run_id,gate__V12_M2__global__presolve_on__30s,True,unique
one_thread_cplex,gate__V12_M2__global__presolve_on__30s,True,cplex_threads=1
single_solver_process,gate__V12_M2__global__presolve_on__30s,True,max_concurrent=1;background=False
incumbent_source_policy_present,gate__V12_M2__global__presolve_on__30s,True,same_run_verified_incumbent
run_timestamps_valid,gate__V12_M2__global__presolve_on__30s,True,start=2026-07-15T06:39:51+08:00;end=2026-07-15T06:40:22+08:00
resource_stop_not_used,gate__V12_M2__global__presolve_on__30s,True,resource_stopped=False;bound_used=False;certified=False
unique_run_id,gate__moderate_seed3301__global__presolve_on__30s,True,unique
one_thread_cplex,gate__moderate_seed3301__global__presolve_on__30s,True,cplex_threads=1
single_solver_process,gate__moderate_seed3301__global__presolve_on__30s,True,max_concurrent=1;background=False
incumbent_source_policy_present,gate__moderate_seed3301__global__presolve_on__30s,True,same_run_verified_incumbent
run_timestamps_valid,gate__moderate_seed3301__global__presolve_on__30s,True,start=2026-07-15T06:40:22+08:00;end=2026-07-15T06:40:52+08:00
resource_stop_not_used,gate__moderate_seed3301__global__presolve_on__30s,True,resource_stopped=False;bound_used=False;certified=False
unique_run_id,gate__tight_T_seed3102__global__presolve_on__30s,True,unique
one_thread_cplex,gate__tight_T_seed3102__global__presolve_on__30s,True,cplex_threads=1
single_solver_process,gate__tight_T_seed3102__global__presolve_on__30s,True,max_concurrent=1;background=False
incumbent_source_policy_present,gate__tight_T_seed3102__global__presolve_on__30s,True,same_run_verified_incumbent
run_timestamps_valid,gate__tight_T_seed3102__global__presolve_on__30s,True,start=2026-07-15T06:40:53+08:00;end=2026-07-15T06:41:23+08:00
