"audit","return_code","output"
"paper_strict_algorithm","0","paper_strict_audit_rows=172 failures=0"
"certificate_sources","0","audited_rows=0 failures=0"
"thread_fairness","0","audited_rows=112 failures=0"
"hardware_fairness","0","hardware fairness checks=625 failures=0"
"timeprofile_finalization","0","audited_rows=112 failures=0"
"no_instance_special_cases","0",""
"model_identity","0","model_identity_rows=0 failures=0"
"no_cross_round_result_mixing","0","audited=415 failures=0"
