run_id,root_fingerprint,objective_fingerprint,row_signature,factory_version,status
official__V12_M1__tailored_global_gini_tree__300s,9e1e334ba9888cf5,80b2923976322a92,ad2c28c9a315200e,round19_v2_projected_centering,passed
official__V12_M2__tailored_global_gini_tree__300s,9afb609938f49557,b659ca6c313672c9,ad3615b2294f5cdc,round19_v2_projected_centering,passed
official__tight_T_seed3101__tailored_global_gini_tree__300s,aae6d8aae44b2c19,83d4551dfc1a6bba,4aa5163ab71aaf0c,round19_v2_projected_centering,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__300s,4842a1fc3d365cea,6b5a82a0d6052664,037c5a003ef5c9d9,round19_v2_projected_centering,passed
official__moderate_seed3301__tailored_global_gini_tree__300s,eded454668315c6e,6ddac9f5d79840f0,43dcfb8b128235d2,round19_v2_projected_centering,passed
official__moderate_seed3302__tailored_global_gini_tree__300s,166db0d278459e27,7ab18e5b9b7ca3bb,8e33b08e56cc9a1d,round19_v2_projected_centering,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__300s,8bdca4204bd6da8d,2b19915609fe2b69,017986f12570071a,round19_v2_projected_centering,passed
official__tight_T_seed3102__tailored_global_gini_tree__300s,4eae20bdea27394b,685b04e4b198f834,5a200704be889f3e,round19_v2_projected_centering,passed
official__V12_M1__tailored_global_gini_tree__900s,9e1e334ba9888cf5,80b2923976322a92,ad2c28c9a315200e,round19_v2_projected_centering,passed
official__V12_M2__tailored_global_gini_tree__900s,9afb609938f49557,b659ca6c313672c9,ad3615b2294f5cdc,round19_v2_projected_centering,passed
official__tight_T_seed3101__tailored_global_gini_tree__900s,aae6d8aae44b2c19,83d4551dfc1a6bba,4aa5163ab71aaf0c,round19_v2_projected_centering,passed
official__high_imbalance_seed3202__tailored_global_gini_tree__900s,4842a1fc3d365cea,6b5a82a0d6052664,037c5a003ef5c9d9,round19_v2_projected_centering,passed
official__moderate_seed3301__tailored_global_gini_tree__900s,eded454668315c6e,6ddac9f5d79840f0,43dcfb8b128235d2,round19_v2_projected_centering,passed
official__moderate_seed3302__tailored_global_gini_tree__900s,166db0d278459e27,7ab18e5b9b7ca3bb,8e33b08e56cc9a1d,round19_v2_projected_centering,passed
official__high_imbalance_seed3201__tailored_global_gini_tree__900s,8bdca4204bd6da8d,2b19915609fe2b69,017986f12570071a,round19_v2_projected_centering,passed
official__tight_T_seed3102__tailored_global_gini_tree__900s,4eae20bdea27394b,685b04e4b198f834,5a200704be889f3e,round19_v2_projected_centering,passed
gate__V12_M1__global__presolve_on__30s,9e1e334ba9888cf5,80b2923976322a92,ad2c28c9a315200e,round19_v2_projected_centering,passed
gate__V12_M2__global__presolve_on__30s,9afb609938f49557,b659ca6c313672c9,ad3615b2294f5cdc,round19_v2_projected_centering,passed
gate__moderate_seed3301__global__presolve_on__30s,eded454668315c6e,6ddac9f5d79840f0,43dcfb8b128235d2,round19_v2_projected_centering,passed
gate__tight_T_seed3102__global__presolve_on__30s,4eae20bdea27394b,685b04e4b198f834,5a200704be889f3e,round19_v2_projected_centering,passed
gate__V12_M1__global__presolve_off__30s,9e1e334ba9888cf5,80b2923976322a92,ad2c28c9a315200e,round19_v2_projected_centering,passed
gate__V12_M2__global__presolve_off__30s,9afb609938f49557,b659ca6c313672c9,ad3615b2294f5cdc,round19_v2_projected_centering,passed
gate__moderate_seed3301__global__presolve_off__30s,eded454668315c6e,6ddac9f5d79840f0,43dcfb8b128235d2,round19_v2_projected_centering,passed
gate__tight_T_seed3102__global__presolve_off__30s,4eae20bdea27394b,685b04e4b198f834,5a200704be889f3e,round19_v2_projected_centering,passed
