variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,1,1,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,2,22,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,3,187,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,4,189,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,5,2919,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,6,29440,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,7,222608,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,8,1197165,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,9,4722473,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,10,14130384,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,11,33479250,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,12,63969701,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,13,99319714,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,14,125106190,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,15,126181685,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,16,98642651,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,17,56248338,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,18,21021933,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,19,4539023,0
all_improvements_300_high_imbalance_seed3202,300,9,0,aggregate,20,402127,0
