"run","instance","ledger"
"smoke_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=0, range=[0,0.1225], status=skipped_floor_ge_incumbent, interval_lb=0, cheap_prepass_lb=0, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=true, open_nodes=11, pricing_closed=false"
"smoke_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=1, range=[0.1225,0.245], status=skipped_floor_ge_incumbent, interval_lb=0.1225, cheap_prepass_lb=0.1225, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"smoke_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=2, range=[0.245,0.3675], status=skipped_floor_ge_incumbent, interval_lb=0.245, cheap_prepass_lb=0.245, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"smoke_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=3, range=[0.3675,0.49], status=skipped_floor_ge_incumbent, interval_lb=0.3675, cheap_prepass_lb=0.3675, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m2_exact_cg_focus_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=0, range=[0.489218,0.512514], status=unresolved, interval_lb=0.712948, cheap_prepass_lb=0.520289, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cli_frontier_focus_range|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=4, pricing_closed=false"
"v12_m2_resume_exact_cg_300s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=0, range=[0.489218,0.512514], status=unresolved, interval_lb=0.712948, cheap_prepass_lb=0.712948, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=focus_interval_json_fields, lb_sources=gamma_floor|focus_interval_json_fields|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=4, pricing_closed=false"
"v12_m2_exact_cg_focus_smooth_60s.json","regen_candidate_V12_M2_average.txt","frontier_interval_ledger: interval_id=0, range=[0.489218,0.512514], status=unresolved, interval_lb=0.712948, cheap_prepass_lb=0.520289, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cli_frontier_focus_range|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=0, range=[0,0.0938514], status=bound_fathomed, interval_lb=0.375406, cheap_prepass_lb=0.00515451, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=1, range=[0.0938514,0.187703], status=bound_fathomed, interval_lb=0.375406, cheap_prepass_lb=0.0982898, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=3, range=[0.281554,0.375406], status=unresolved, interval_lb=0.374717, cheap_prepass_lb=0.285993, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=false"
"v12_m1_full_import_focus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=6, range=[0.276436,0.281554], status=bound_fathomed, interval_lb=0.375406, cheap_prepass_lb=0.192141, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|import_split_inherited_parent_lb|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false"
