station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,6,10,6
2,4,8,4
3,21,12,21
4,18,10,18
5,21,13,13
6,7,11,11
7,6,11,11
8,17,10,17
9,21,12,12
10,6,13,10
11,6,13,6
12,6,10,10
13,5,10,5
14,23,13,14
15,20,11,20
16,8,12,11
17,18,10,10
18,23,13,11
19,18,10,18
20,19,11,16
21,8,13,13
22,18,10,18
23,18,10,16
24,17,10,11
25,6,14,14
26,4,8,4
27,15,9,15
28,18,10,18
29,6,10,6
30,9,5,9
31,7,14,7
32,17,9,17
33,23,13,15
34,8,16,16
35,5,10,7
36,15,9,10
37,8,13,13
38,15,8,15
39,6,13,13
40,7,10,7
41,15,9,15
42,10,19,19
43,6,10,10
44,6,10,10
45,7,11,11
46,18,10,10
47,7,11,8
48,6,11,6
49,18,10,18
50,20,12,12
