seed,pass,neighbors,decoded_checks,accepted,exhausted,interrupted,fitness_before,fitness_after,accepted_proxy_fitness,elapsed_seconds,cross_route_neighbors,cross_route_checks,accepted_cross_route
1,1,27,1,1,0,0,-0.52501830302676433,-0.44725132260218714,-0.44744843084031161,0.1232921,0,0,0
1,2,26,1,1,0,0,-0.44725132260218714,-0.39950306235521837,-0.39957900877389496,0.157032,0,0,0
1,3,24,1,1,0,0,-0.39950306235521837,-0.35542535850749718,-0.3557236258868578,0.1893203,0,0,0
1,4,23,1,1,0,0,-0.35542535850749718,-0.31811118242345116,-0.31811118242345093,0.2191369,0,0,0
1,5,22,1,1,0,0,-0.31811118242345116,-0.31015578361512408,-0.3101557836151238,0.24809929999999999,0,0,0
1,6,20,1,1,0,0,-0.31015578361512408,-0.30919222035799832,-0.30919222035799798,0.2766149,0,0,0
1,7,19,19,0,1,0,-0.30919222035799832,-0.30919222035799832,0,0.35218769999999999,0,0,0
2,8,24,1,1,0,0,-0.48827454510175833,-0.42684048689030152,-0.42684048689030119,0.35674040000000001,0,0,0
2,9,23,1,1,0,0,-0.42684048689030152,-0.36621655274009013,-0.36634254303333447,0.36123090000000002,0,0,0
2,10,22,1,1,0,0,-0.36621655274009013,-0.32797812105296203,-0.32797812105296209,0.36623800000000001,0,0,0
2,11,23,1,1,0,0,-0.32797812105296203,-0.30992251842306456,-0.31050165853699746,0.37287930000000002,0,0,0
2,12,22,1,1,0,0,-0.30992251842306456,-0.30334673512770416,-0.30352336795847146,0.37896629999999998,0,0,0
2,13,20,1,1,0,0,-0.30334673512770416,-0.30113266470338501,-0.30113266470338462,0.3860555,0,0,0
2,14,20,1,1,0,0,-0.30113266470338501,-0.29930804169082054,-0.29930804169082026,0.39223839999999999,0,0,0
2,15,18,18,0,1,0,-0.29930804169082054,-0.29930804169082054,0,0.42454419999999998,0,0,0
3,16,28,1,1,0,0,-0.24967058668618147,-0.18706622279266116,-0.1872149716995849,0.45301960000000002,0,0,0
3,17,26,1,1,0,0,-0.18706622279266116,-0.17391162513402883,-0.17391162513402858,0.48091159999999999,0,0,0
3,18,24,1,1,0,0,-0.17391162513402883,-0.16186387291066592,-0.16186387291066612,0.50857870000000005,0,0,0
3,19,23,1,1,0,0,-0.16186387291066592,-0.16093694300198941,-0.16132362157847718,0.53685419999999995,0,0,0
3,20,22,22,0,1,0,-0.16093694300198941,-0.16093694300198941,0,0.64344140000000005,0,0,0
4,21,20,1,1,0,0,-0.76190826134076595,-0.75807083968107136,-0.75807083968107092,0.66234280000000001,0,0,0
4,22,18,1,1,0,0,-0.75807083968107136,-0.59871173280286671,-0.81872647818299482,0.68319300000000005,0,0,0
4,23,19,1,1,0,0,-0.59871173280286671,-0.56068671078035714,-0.76699641753924142,0.72006919999999996,0,0,0
4,24,23,1,1,0,0,-0.56068671078035714,-0.53032944935003434,-0.6585314995177034,0.77598350000000005,0,0,0
4,25,22,1,1,0,0,-0.53032944935003434,-0.52593941353038687,-0.63364337845711372,0.84866569999999997,0,0,0
4,26,21,1,1,0,0,-0.52593941353038687,-0.51628474727651419,-0.63768078065173806,0.92721299999999995,0,0,0
4,27,20,2,1,0,0,-0.51628474727651419,-0.49228171741976556,-0.64569651071480505,1.0069650999999999,0,0,0
4,28,19,2,1,0,0,-0.49228171741976556,-0.45285301372627829,-0.62907816362562441,1.0691600000000001,0,0,0
4,29,18,2,1,0,0,-0.45285301372627829,-0.45036870777025007,-0.59029241839329349,1.1238604999999999,0,0,0
4,30,18,7,1,0,0,-0.45036870777025007,-0.44965506223551055,-0.59029241839329349,1.2409816,0,0,0
4,31,17,17,0,1,0,-0.44965506223551055,-0.44965506223551055,0,1.4083696999999999,0,0,0
5,32,21,1,1,0,0,-0.5638193275572404,-0.52805626591970789,-0.52805626591970767,1.4391415000000001,0,0,0
5,33,19,9,1,0,0,-0.52805626591970789,-0.45341096709696038,-0.71737274647858462,1.5047344,0,0,0
5,34,18,18,0,1,0,-0.45341096709696038,-0.45341096709696038,0,1.5957964,0,0,0
6,35,23,1,1,0,0,-0.47929249561034426,-0.37791525861764952,-0.37791525861764974,1.6071241999999999,0,0,0
6,36,21,1,1,0,0,-0.37791525861764952,-0.32887108405626364,-0.32887108405626353,1.6176535999999999,0,0,0
6,37,20,1,1,0,0,-0.32887108405626364,-0.284650480562051,-0.28805258561384922,1.6299695999999999,0,0,0
6,38,19,1,1,0,0,-0.284650480562051,-0.26877365861749813,-0.26877365861749797,1.6471287999999999,0,0,0
6,39,18,1,1,0,0,-0.26877365861749813,-0.25612212415652263,-0.25799604008877008,1.6662691000000001,0,0,0
6,40,17,1,1,0,0,-0.25612212415652263,-0.2554978900141146,-0.25395591597448047,1.6818236,0,0,0
