instance,seed,run_id,mode,label,objective,G,P,route_count,served_station_count,total_pickup,total_drop,depot_unload,route_durations,verifier_passed,runtime,accepted_as_best,exported_incumbent_path
round32_multi_m_tight_T_V20_M4_seed2095231402.txt,20260626,1,greedy,deterministic_tgbc_greedy_mode_0,1.03309,0.384456,4.32422,4,12,39,28,11,"2399.72|2327.77|2360.72|0",true,0.0007154,true,
round32_multi_m_tight_T_V20_M4_seed2095231402.txt,20260626,2,greedy,deterministic_tgbc_greedy_mode_1,0.999214,0.36297,4.24163,4,11,48,36,12,"2399.72|2263.06|2395.97|2172",true,0.0009317,true,
round32_multi_m_tight_T_V20_M4_seed2095231402.txt,20260626,3,greedy,deterministic_tgbc_greedy_mode_2,1.00014,0.363641,4.24332,4,11,48,36,12,"2399.72|2263.06|2395.97|1173.64",true,0.0011606,false,
