interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason
0,0,0.0206402171405,0,0.082560868562,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0,0.082560868562,0,1,0,0,0,0,0,29.555715,gamma_floor,gamma_floor,fixed,,,,0,0,0,
1,0.0206402171405,0.041280434281,0.0206402171405,0.082560868562,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0206402171405,0.082560868562,0,1,0,0,0,0,0,29.2185423,gamma_floor,gamma_floor,fixed,,,,0,0,0,
2,0.041280434281,0.0619206514215,0.041280434281,0.082560868562,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.041280434281,0.082560868562,0,1,0,0,0,0,0,28.9728286,gamma_floor,gamma_floor,fixed,,,,0,0,0,
3,0.0619206514215,0.082560868562,0.082560868562,0.082560868562,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.082560868562,0.082560868562,0,0,0,0,0,0,0,13.6040152,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
4,0,0.0103201085702,0,0.082560868562,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0,0.082560868562,0,1,0,0,0,0,0,29.4260796,gamma_floor,gamma_floor,fixed,,,,0,0,0,
5,0.0103201085702,0.0206402171405,0.0103201085702,0.082560868562,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.0103201085702,0.082560868562,0,1,0,0,0,0,0,29.2498109,gamma_floor,gamma_floor,fixed,,,,0,0,0,
6,0,0.00516005428512,0.082560868562,0.082560868562,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.082560868562,0.082560868562,0,0,0,0,0,0,0,12.2503599,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
7,0.00516005428512,0.0103201085702,0.082560868562,0.082560868562,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.082560868562,0.082560868562,0,0,0,0,0,0,0,28.2315204,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,
8,0.0103201085702,0.0154801628554,0.0103201085702,0.082560868562,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.0103201085702,0.082560868562,0,1,0,0,0,0,0,29.1879329,gamma_floor,gamma_floor,fixed,,,,0,0,0,
9,0.0154801628554,0.0206402171405,0.0154801628554,0.082560868562,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0154801628554,0.082560868562,0,1,0,0,0,0,0,29.1734281,gamma_floor,gamma_floor,fixed,,,,0,0,0,
10,0.0103201085702,0.0129001357128,0.0103201085702,0.082560868562,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0103201085702,0.082560868562,0,1,0,0,0,0,0,11.6707384,gamma_floor,gamma_floor,fixed,,,,0,0,0,
11,0.0129001357128,0.0154801628554,0.0129001357128,0.082560868562,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,tree_not_started_before_time_limit_or_reserve,false,false,false,false,true,0,0,false,0.0129001357128,0.082560868562,0,1,0,0,0,0,0,10.5011616,gamma_floor,gamma_floor,fixed,,,,0,0,0,
